CODE,MARKETING PERSON,RREGION,CUSTOMER NAME,,,
101973,Sakthivel,South,GEOFAST CONSUMER PRODUCTS PRIVATE LIMITED,,,
101945,Sakthivel,South,S.M.BEVERAGE,,,
101982,Sakthivel,South,KERALA IRRIGATION INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,,,
101996,Sakthivel,South,RUDRA POLYMERS,,,
101920,Sakthivel,South,UNITED BLOWPLAST CONTAINERS,,,
101801,Sakthivel,South,GIGANI FOODS,,,
101871,Sakthivel,South,JDR CHILL ZONE,,,
102020,Sakthivel,South,VALENCIA BEVERAGES & SUPERWATER PRIVATE LIMITED,,,
101972,Sakthivel,South,SUJALAA FOOD AND BEVERAGES INDIA LLP (II),,,
101726,Sakthivel,South,MAHALAKSHMI BEVARAGES,,,
102028,Sakthivel,South,ECHELON PACKAGING,,,
102042,Sakthivel,South,JAI BALAJI PET INDUSTRIES,,,
102040,Sakthivel,South,S. L. ENTERPRISES,,,
102102,Sakthivel,South,Sandya Enterprises,,,
102100,Sakthivel,South,KAIRA DISTRICT CO-OPERATIVE MILK PRODUCERS UNION LIMITED,,,
101961,Sakthivel,South,SS FOODS,,,
102137,Sakthivel,South,TASTREE FOODS,,,
102168,Sakthivel,South,SARAN PET INDUSTRY,,,
102162,Sakthivel,South,SKANDA AQUA PURA,,,
101244,Sakthivel,South,ARCHIAN FOODS INDIA PRIVATE LIMITED,,,
102167,Sakthivel,South,SANDHYA ENTERPRISES (D),,,
102011,Sakthivel,South,SALISONS,,,
101607,Sakthivel,South,HECTOR BEVERAGES (P) LTD,,,
102176,Sakthivel,South,CHENNAI SODAS,,,
102170,Sakthivel,South,FASTRO INDIA,,,
102193,Sakthivel,South,SNJ SYNTHETICS LTD,,,
102192,Sakthivel,South,SNJ SYNTHETICS LIMITED,,,
102201,Sakthivel,South,KC PET BOTTLES,,,
102136,Sakthivel,South,LVS FOODS & BEVERAGES,,,
101147,Sakthivel,South,KAVI FOOD AND BEVERAGES,,,
101138,Sakthivel,South,GELATICA GROUPS,,,
101154,Sakthivel,South,UPSIA TRADERS,,,
101166,Sakthivel,South,PRIMA BEVERAGE PVT LT,,,
101184,Sakthivel,South,AR RAJU BEVERAGES PVT. LTD,,,
100730,Sakthivel,South,RK FRUIT JUICES & BEVERAGES,,,
101953,Sakthivel,South,GIGANI FOODS,,,
101975,Sakthivel,South,SWADESHI FOOD & BEVARAGES,,,
101707,Sakthivel,South,KERALA IRRIGATION INFRASTRUCTURE DEVELOPMENT CORPORATION LTD,,,
101708,Sakthivel,South,KERALA IRRIGATION INFRASTRUCTURE DEVELOPMENT CORPORATION LTD,,,
101821,Sakthivel,South,MAHA FRESH FRUIT PRODUCTS,,,
101853,Sakthivel,South,AWANTI POLYMOULDS PVT LTD,,,
101947,Sakthivel,South,PRANA AGRO FOODS,,,
101844,Sakthivel,South,MITHRA MINERALS & BEVERAGES,,,
101559,Sakthivel,South,MAHA FRESH FRUIT PRODUCTS,,,
101886,Sakthivel,South,KVM BEVERAGE AND AQUAA FIRM,,,
100037,Sakthivel,South,BISLERI Chennai,,,
102093,Sakthivel,South,S.S.BEVERAGES,,,
100969,Sakthivel,South,BISLERI INTERNATIONAL PVT LTD gujarat,,,
101987,Sakthivel,South,BR ENTERPRISES,,,
102105,Sakthivel,South,INCHARA LUBRICANTS,,,
100531,Sakthivel,South,BISLERI,,,
102106,Sakthivel,South,SAM PRODUCTION,,,
102000,Sakthivel,South,THE KRISHNA DISTRICT MILK PRODUCERS,,,
102126,Sakthivel,South,ULTRAPURE BEVERAGES PVT LTD,,,
102132,Sakthivel,South,CHIVAL FOODS AND BEVERAGES LLP,,,
102128,Sakthivel,South,SHREE SHYAM AQUA INDUSTRIES,,,
102139,Sakthivel,South,KD BEVERAGES,,,
102069,Sakthivel,South,BISLERI INTERNATIONAL PVT LTD,,,
102143,Sakthivel,South,LAXMIPURIFA AND BEVERAGES PVT LTD,,,
102147,Sakthivel,South,SRIYAGA BEVERAGES PRIVATE LIMITED,,,
102157,Sakthivel,South,RICH AQUA FARMS,,,
102155,Sakthivel,South,UNIQUE BEVERAGES PVT LTD,,,
102146,Sakthivel,South,RMJ VERITABLE PRODUCTS PRIVATE LIMI,,,
102145,Sakthivel,South,HECTOR BEVERAGES PVT. LTD,,,
102153,Sakthivel,South,NATURES FRESH ENTERPRISES PVT LTD,,,
102158,Sakthivel,South,J FOODS AND BEVERAGES,,,
100343,Sakthivel,South,BISLERI,,,
102159,Sakthivel,South,NATURES FRESH ENTERPRISES PVT LTD,,,
102173,Sakthivel,South,OCEAN BLU,,,
102180,Sakthivel,South,ULTRA UNIQUE WATER INDUSTRIES,,,
102178,Sakthivel,South,NEYCER JALAA PVT LTD,,,
101086,Sakthivel,South,TRINITY BEVERAGES PVT LTD,,,
102138,Sakthivel,South,LVS FOODS & BEVERAGES,,,
102255,Sakthivel,South,Bisleri International Private Limited,,,
101198,Sakthivel,South,NOURISH CO BEVERAGES LTD,,,
101316,Sakthivel,South,TEEJAN FOODS PVT LTD,,,
101309,Sakthivel,South,KINKAN FOODS AND BEVERAGES PRIVATE LIMITED,,,
100609,Sakthivel,South,DRYTECH PROCESSES (I) PVT.LTD,,,
101485,Sakthivel,South,IND ORISON PRIVATE LIMITED,,,
101640,Sakthivel,South,Tata Consumer Product Limited,,,
101638,Sakthivel,South,Tata Consumer Product Limited,,,
100454,Sakthivel,South,A.G. SODA FACTORY,,,
101655,Sakthivel,South,DODLA DAIRY LIMITED,,,
101689,Sakthivel,South,SIVA JYOTHI BEVERAGES,,,
100688,Sakthivel,South,BISLERI INTERNATIONAL PVT LTD,,,
101937,Sakthivel,South,NEO HEALTHBASIX SOLUTIONS PVT,,,
101530,Sakthivel,South,SHASHI ENTERPRISE,,,
101941,Sakthivel,South,BS AQUA INDUSTRIES,,,
101943,Sakthivel,South,SAVAN BEVERAGES,,,
101918,Sakthivel,South,SINGHANIA POLYMERS,,,
101954,Sakthivel,South,CHIRANTHAN FOODS AND BEVERAGES,,,
102189,Sakthivel,South,SATYAPRABHA GLASS AGENCY,,,
101445,Sakthivel,South,SRM FOODS,,,
101446,Sakthivel,South,NIVEDYAM GROUP OF INDUSTRIES,,,
101458,Sakthivel,South,G B BOTTLERS,,,
101448,Sakthivel,South,R P LOGISTICS,,,
101485,Sakthivel,South,IND ORISON PRIVATE LIMITED,,,
101481,Sakthivel,South,SREEJAY VENTURES,,,
101520,Sakthivel,South,AQUA SPLASH DRINKING WATER,,,
101540,Sakthivel,South,S G ENTERPRISES,,,
101538,Sakthivel,South,SRI TREAT ENTERPRISES,,,
101569,Sakthivel,South,FORTUNE SPRINGS,,,
101581,Sakthivel,South,JV BEVERAGES,,,
101583,Sakthivel,South,ROCKDROP HYDRATE PVT LTD,,,
101584,Sakthivel,South,MODEL DAIRY PVT LTD,,,
101589,Sakthivel,South,PANJWANI FOOD PRODUCTS,,,
101599,Sakthivel,South,SWADESHI FOOD & BEVARAGES,,,
101644,Sakthivel,South,NAKODA POLYMERS,,,
101476,Sakthivel,South,HARIKA FOOD AND BEVERAGES PVT LTD,,,
101650,Sakthivel,South,BRISTO BEVERAGES,,,
101651,Sakthivel,South,HASSAN CO-OP MILK PROD SOCICTIES UN,,,
101655,Sakthivel,South,DODLA DAIRY LIMITED,,,
101105,Sakthivel,South,NYSA CONSUMER PRODUCTS PVT. LTD,,,
101357,Sakthivel,South,PODARAN FOODS INDIA PRIVATE LIMITED,,,
101664,Sakthivel,South,JPR AQUA FARMS,,,
101668,Sakthivel,South,SRI MUTHIAH BEVERAGES COMPANY,,,
101683,Sakthivel,South,VENKATA BEVERAGES PRIVATE LIMITED,,,
101686,Sakthivel,South,DUHKAAR FOOD & BEVERAGES PVT LTD,,,
101691,Sakthivel,South,SRI SRINIVASA DAIRY PRODUCTS PVT LT,,,
101701,Sakthivel,South,RUBY FOOD PRODUCTS PRIVATE LIMITED,,,
101714,Sakthivel,South,J.S.INDUSTRIES,,,
101721,Sakthivel,South,MANGO AGRO PRODUCTS,,,
